name,status,review_date,slides,trainer_notes,review_status,
Intro to JS - Intro to the DOM,,,https://docs.google.com/presentation/d/1D84ZpEi7ea6ahHThJWB8ePjkPR5w4zus8YiWPrAAKMI/edit?usp=sharing,https://docs.google.com/document/d/1iuTIo1GxjIHPbpScDhUcybjDam1q-XT85MhsIY57VBg/edit?usp=sharing,
The DOM Practical,,,,https://docs.google.com/document/d/1J3fO-L_5DHjD3RRrqQezLjalBghDGnadji3OxcoWiFc/edit?usp=sharing,
Frameworks,,,https://docs.google.com/presentation/d/1fR5ixRht2gY3T_RSta21E6dL3bDBU10hAjQgX47SMEc/edit?usp=sharing,https://docs.google.com/document/d/1dxUAl_aE1cSYo2HDdlwW5tBbGSnQ_S_sIidnpaoBdnA/edit?usp=sharing,
Git Workflows,,,,,
Ilities,,,https://docs.google.com/presentation/d/1pqz80WR3Mot4L-jd0fzOqIdW3dbNehxpwC_HbF9iy-k/edit?usp=sharing,https://docs.google.com/document/d/1ieQhWb5vW-a_8rVpfIWicvI16X_0xDhrPEGTB0f25OQ/edit?usp=sharing,
Specialisms,,,https://docs.google.com/presentation/d/1_kUvooKqZ055B-X3pnzEG-0Mfn6XT5Jb5quHnT_4qos/edit?usp=sharing,https://docs.google.com/document/d/1FfOEGbPqPCveTm6Iy0ICrOZQC7-F2zvLGxCxdZlzI4o/edit?usp=sharing,
Retro & Agile,,,,,
User Personas,,,,,
Portfolio Basics,,,,,
Experience Mapping: Wireframing and Intro to User Journey Planning,,,,,
UX Strategy,,,,,
Customer Experience,,,,,
KPI's and Metrics,,,,,
Communication & Scheduling,,,,,
OKR's (Objectives & Key Results),,,,,
Defining an MVP,,,https://docs.google.com/presentation/d/1-69o6WeKte0y3U4WnT-_DbxkUXfp2B67Uey7xFV-odE/edit?usp=sharing,https://docs.google.com/document/d/1AkpAwJvkNoWxewC9b2lX3kSdyjVg8_-qiqi_zE91BU0/edit?usp=sharing,
Time Management,,,https://docs.google.com/presentation/d/1z0xeIGmoljJyjnFnCrHFKt3leq-Tf31SVODh7yiacpE/edit?usp=sharing,,
Security 1,,,https://docs.google.com/presentation/d/1cXnUAGlWpCz_tN5S5FxBWPH94ZIvsFFEXgg1dIkwJbA/edit?usp=sharing,,
Security 2,,,https://docs.google.com/presentation/d/1FmZx6vCpGQUA4SkBXFy76vN5uPn0Q57Flvf8wYIux8c/edit?usp=sharing,,
Understanding Remote/Asynchronous Working,,,,,
Static Site Builders,,,https://docs.google.com/presentation/d/1EHVUe03PC37XndSS9tmC3nQIyFyaKFxz89eaJZ77mZM/edit?usp=sharing,https://docs.google.com/document/d/1gonLyZqjY_WUi-_hPnKYiLlzWuV5CSA6TCiekjAaaww/edit?usp=sharing,
Intro to Source Control,,,https://docs.google.com/presentation/d/1qFgseS2rMKUuQySklGosqhZjEu2SgVH3brjIni-lPlM/edit?usp=sharing,https://docs.google.com/document/d/17Px4C-ygfBfqo6yMzSmm3Kwu7PTEt46V5wPx6Og9o3g/edit?usp=sharing,
Testing Strategies,,,https://docs.google.com/presentation/d/1CmsBL81QK7GOpq0p70GNs0WDo7b01m3NnRAmkobXhVA/edit?usp=sharing,https://docs.google.com/document/d/1clb62VBsLsStHMiL-RQYMPGIJWBw8RhfCNlFQDM8F44/edit?usp=sharing,
Showcase,,,https://docs.google.com/presentation/d/1j1R-uhA30zpMNkUp4QUTFs84XCB1tAiHQ8TTlE1Uhkw/edit?usp=sharing,https://docs.google.com/document/d/1brfpQOdD1yzPxwbeIs3UeCAEpr3hKHwYOI8rjL6Ay8E/edit?usp=sharing,
Project Workflows,,,https://docs.google.com/presentation/d/12wehc6UhRWdNWWsQkXTX45JF_eO5_aY0KdUfeB7uVHU/edit?usp=sharing,https://docs.google.com/document/d/1R1l0kZdsfpuxGYx_4FawLpxreACu3cLmZRv2HFqrbd4/edit?usp=sharing,
Understanding Projects,,,,https://docs.google.com/document/d/1OpxiBEvv7NjZxxVjUnoOxVIaGvfDVTvtiKoCMNXgDyA/edit?usp=sharing,
Project Work Flows,,,https://docs.google.com/presentation/d/12wehc6UhRWdNWWsQkXTX45JF_eO5_aY0KdUfeB7uVHU/edit?usp=sharing,https://docs.google.com/document/d/1R1l0kZdsfpuxGYx_4FawLpxreACu3cLmZRv2HFqrbd4/edit?usp=sharing,
Intro to PM,,,,,
Testing Toolkit,,,,,
Automation (STL4),,,,,
Automation (SDL4),,,,,
Agile Theory & Practice,,,,,
Scrum Lego,,,,,
